ID,SCREENNAME,FOLLOWERCOUNT
1441071761030664197,SwathiVenk,5
77531826,involutish,4
1417759092593119234,nasreenarif95,4
2495140081,KarenKvaughan,4
1352772840110616577,cbusd001,4
1164345529918115840,OsamaTheRuler,4
828469626124136448,BabithaBokka,3
708690890974470145,mridulish,3
603399914,YIFEOLUWA,3
1088141174769106945,VamsiKr94338785,3
1219709744073474048,ReddyDodlapati,3
820395,ccweigle,2
2153354521,iq136boy,2
619160729,WSDLtest,2
755808986977501184,giridahran_offl,2
1047918032570523648,UdochiNweke,2
957904450047414272,sahelno,2
3431446607,hdo003,1
1227002684789514240,AlanChe80864281,1
918044600,out_of_townie,1
3404105714,WesFelDAAC,1
954570740,EkinNefes,1
326644141,amlhasbat,1
2771013624,z_vvvv,1
945086682805633024,Lhuaroto1,1
1336774232676700162,ThomasA22080824,0
891653392736501760,SugarRuy,0
1564889394,heenalsanghvi,0
1306248923842052097,Sunshin64868465,0
1326942361440706561,GSSTCompSci,0
1027016812658085888,Bathshe25693892,0
780941853512372224,_SheenSheen_,0
